oa ob oc od	name a	name b	name c	name d	name e	name f	name g	|	min	max	desc
      7c 00						75						
      7e 00						76						
   11 00 00						77						
      02 00						78						
      04 00						79						
      06 00						80						
      08 00						81						
      0a 00						82						
      0c 00						83						
      0e 00						84						
      10 00						85						
      12 00						86						
      14 00						87						
      16 00						88						
      18 00						89						
      1a 00						90						
      1c 00						91						
      1e 00						92						
      20 00						93						
      22 00						94						
      24 00						95						
      26 00						96						
      28 00						97						
      2a 00						98						
      2c 00						99						
      2e 00						100						
      30 00						101						
      32 00						102						
      34 00						103						
      36 00						104						
      38 00						105						
      3a 00						106						
      3c 00						107						
   11 3e 00						108						
11 20 00 00			2					SEE: performance_part.1				
11 40 00 00			3					SEE: performance_part.1				
11 60 00 00			4					SEE: performance_part.1				
12 00 00 00			5					SEE: performance_part.1				
12 20 00 00			6					SEE: performance_part.1				
12 40 00 00			7					SEE: performance_part.1				
12 60 00 00			8					SEE: performance_part.1				
13 00 00 00			9					SEE: performance_part.1				
13 20 00 00			10					SEE: performance_part.1				
13 40 00 00			11					SEE: performance_part.1				
13 60 00 00			12					SEE: performance_part.1				
14 00 00 00			13					SEE: performance_part.1				
14 20 00 00			14					SEE: performance_part.1				
14 40 00 00			15					SEE: performance_part.1				
14 60 00 00			16					SEE: performance_part.1				
1e 00 00 00		rhythm_pattern										
      00 00			common									
         00				end_step					1	32		
         02				name					32	127	ASCII char[16]	
      10 00			note									
      10 00				1								
         00					original_note				0	128	two nibbles	
         02					step							
         02						1						
         04						2			0	128	two nibbles	
         06						3			0	128	two nibbles	
         08						4			0	128	two nibbles	
         0a						5			0	128	two nibbles	
         0c						6			0	128	two nibbles	
         0e						7			0	128	two nibbles	
         10						8			0	128	two nibbles	
         12						9			0	128	two nibbles	
         14						10			0	128	two nibbles	
         16						11			0	128	two nibbles	
         18						12			0	128	two nibbles	
         1a						13			0	128	two nibbles	
         1c						14			0	128	two nibbles	
         1e						15			0	128	two nibbles	
         20						16			0	128	two nibbles	
         22						17			0	128	two nibbles	
         24						18			0	128	two nibbles	
         26						19			0	128	two nibbles	
         28						20			0	128	two nibbles	
         2a						21			0	128	two nibbles	
         2c						22			0	128	two nibbles	
         2e						23			0	128	two nibbles	
         30						24			0	128	two nibbles	
         32						25			0	128	two nibbles	
         34						26			0	128	two nibbles	
         36						27			0	128	two nibbles	
         38						28			0	128	two nibbles	
         3a						29			0	128	two nibbles	
         3c						30			0	128	two nibbles	
         3e						31			0	128	two nibbles	
         40						32			0	128	two nibbles	
      11 00				2					SEE: note.1			
      12 00				3					SEE: note.1			
      13 00				4					SEE: note.1			
      14 00				5					SEE: note.1			
      15 00				6					SEE: note.1			
      16 00				7					SEE: note.1			
      17 00				8					SEE: note.1			
      18 00				9					SEE: note.1			
      19 00				10					SEE: note.1			
      1a 00				11					SEE: note.1			
      1b 00				12					SEE: note.1			
      1c 00				13					SEE: note.1			
      1d 00				14					SEE: note.1			
      1e 00				15					SEE: note.1			
      1f 00				16					SEE: note.1			
1e 11 00 00		arpeggio										
      00 00			common									
      10 00			note									
      10 00				1								
      11 00				2								
      12 00				3								
      13 00				4								
      14 00				5								
      15 00				6								
      16 00				7								
      17 00				8								
      18 00				9								
      19 00				10								
      1a 00				11								
      1b 00				12								
      1c 00				13								
      1d 00				14								
      1e 00				15								
      1f 00				16								
1e 13 00 00		rhythm_group										
         00			name						32	127	ASCII char[16]	
         10			bank_msb						0	127		
         11			bank_lsb						0	127		
         12			pc						0	127		
         13			reserved									
         15			pad	1	velocity				0	127		
         17					pattern_number				0	255	two nibbles	
         1b				2	velocity				0	127		
         1d					pattern_number				0	255	two nibbles	
         21				3	velocity				0	127		
         23					pattern_number				0	255	two nibbles	
         27				4	velocity				0	127		
         29					pattern_number				0	255	two nibbles	
         2d				5	velocity				0	127		
         2f					pattern_number				0	255	two nibbles	
         33				6	velocity				0	127		
         35					pattern_number				0	255	two nibbles	
         39				7	velocity				0	127		
         3b					pattern_number				0	255	two nibbles	
         3f				8	velocity				0	127		
         41					pattern_number				0	255	two nibbles	
         71				reserved								
1e 15 00 00		vocal_effect										
      00 00			name						32	127	ASCII char[12]	
         0c			type						0	1	Vocoder, Auto-Pitch	
         0d												
         0e												
         0f												
         10												
         11												
         12												
         13												
         16												
         17												
         18												
         19												
         1a												
         1b												
         1c												
         1d												
         1e												
         1f												
         20												
         21												
         22												
           												
1f 00 00 00		patch_mode	patch_drum	1								
1f 20 00 00				2								
20 00 00 00	user	performance	1										
20 01 00 00			2										
20 02 00 00			3										
20 7f 00 00			128										
21 00 00 00		pattern	1										
21 01 00 00			2										
21 02 00 00			3										
21 7f 00 00			128										
30 00 00 00		patch	1										
30 01 00 00			2										
31 00 00 00			129										
31 7f 00 00			256										
40 00 00 00		drum_kit	1										
40 10 00 00			2										
40 70 00 00			8										
60 00 00 00		vocal_effect	1										
60 00 01 00			2										
60 00 13 00			20										
           												
