oa ob oc od	name a	name b	name c	name d	name e	name f	name g	|	min	max	desc
         05					1	source			0	101	OFF, CC01 .. CC31, CC33 .. CC95, BEND, AFT, SYS1 .. SYS4	
         06					1	sens			1	127	-63 .. +63	
         07					2	source			0	101	OFF, CC01 .. CC31, CC33 .. CC95, BEND, AFT, SYS1 .. SYS4	
         08					2	sens			1	127	-63 .. +63	
         09					3	source			0	101	OFF, CC01 .. CC31, CC33 .. CC95, BEND, AFT, SYS1 .. SYS4	
         0a					3	sens			1	127	-63 .. +63	
         0b					4	source			0	101	OFF, CC01 .. CC31, CC33 .. CC95, BEND, AFT, SYS1 .. SYS4	
         0c					4	sens			1	127	-63 .. +63	
         0d					assign	1			0	16	OFF, 1 .. 16	
         0e						2			0	16	OFF, 1 .. 16	
         0f						3			0	16	OFF, 1 .. 16	
         10						4			0	16	OFF, 1 .. 16	
         11				parameter								
         11					1				12768	52768	-20,000 .. +20,000  four nibbles	
         15					2				12768	52768	-20,000 .. +20,000	
         19					3				12768	52768	-20,000 .. +20,000	
         1d					4				12768	52768	-20,000 .. +20,000	
         21					5				12768	52768	-20,000 .. +20,000	
         25					6				12768	52768	-20,000 .. +20,000	
         29					7				12768	52768	-20,000 .. +20,000	
         2d					8				12768	52768	-20,000 .. +20,000	
         31					9				12768	52768	-20,000 .. +20,000	
         35					10				12768	52768	-20,000 .. +20,000	
         39					11				12768	52768	-20,000 .. +20,000	
         3d					12				12768	52768	-20,000 .. +20,000	
         41					13				12768	52768	-20,000 .. +20,000	
         45					14				12768	52768	-20,000 .. +20,000	
         49					15				12768	52768	-20,000 .. +20,000	
         4d					16				12768	52768	-20,000 .. +20,000	
         51					17				12768	52768	-20,000 .. +20,000	
         55					18				12768	52768	-20,000 .. +20,000	
         59					19				12768	52768	-20,000 .. +20,000	
         5d					20				12768	52768	-20,000 .. +20,000	
         61					21				12768	52768	-20,000 .. +20,000	
         65					22				12768	52768	-20,000 .. +20,000	
         69					23				12768	52768	-20,000 .. +20,000	
         6d					24				12768	52768	-20,000 .. +20,000	
         71					25				12768	52768	-20,000 .. +20,000	
         75					26				12768	52768	-20,000 .. +20,000	
         79					27				12768	52768	-20,000 .. +20,000	
         7d					28				12768	52768	-20,000 .. +20,000	
      03 01					29				12768	52768	-20,000 .. +20,000	
         05					30				12768	52768	-20,000 .. +20,000	
         09					31				12768	52768	-20,000 .. +20,000	
         0d					32				12768	52768	-20,000 .. +20,000	
      04 00			chorus									
         00				type								
         01				level					0	127		
         02				output_assign					0	3	A, ___, ___, ___	
         03				output_select					0	2	MAIN, REV, MAIN+REV	
         04				parameter								
         04					1				12768	52768	-20,000 .. +20,000	
         08					2				12768	52768	-20,000 .. +20,000	
         0c					3				12768	52768	-20,000 .. +20,000	
         10					4				12768	52768	-20,000 .. +20,000	
         14					5				12768	52768	-20,000 .. +20,000	
         18					6				12768	52768	-20,000 .. +20,000	
         1c					7				12768	52768	-20,000 .. +20,000	
         20					8				12768	52768	-20,000 .. +20,000	
         24					9				12768	52768	-20,000 .. +20,000	
         28					10				12768	52768	-20,000 .. +20,000	
         2c					11				12768	52768	-20,000 .. +20,000	
         30					12				12768	52768	-20,000 .. +20,000	
         34					13				12768	52768	-20,000 .. +20,000	
         38					14				12768	52768	-20,000 .. +20,000	
         3c					15				12768	52768	-20,000 .. +20,000	
         40					16				12768	52768	-20,000 .. +20,000	
         44					17				12768	52768	-20,000 .. +20,000	
         48					18				12768	52768	-20,000 .. +20,000	
         4c					19				12768	52768	-20,000 .. +20,000	
         50					20				12768	52768	-20,000 .. +20,000	
      06 00			reverb									
         00				type					0	5		
         01				level					0	127		
         02				output_assign					0	3	A, ___, ___, ___	
         03				parameter								
         03					1				12768	52768	-20,000 .. +20,000	
         07					2				12768	52768	-20,000 .. +20,000	
         0b					3				12768	52768	-20,000 .. +20,000	
         0f					4				12768	52768	-20,000 .. +20,000	
         13					5				12768	52768	-20,000 .. +20,000	
         17					6				12768	52768	-20,000 .. +20,000	
         1b					7				12768	52768	-20,000 .. +20,000	
         1f					8				12768	52768	-20,000 .. +20,000	
         23					9				12768	52768	-20,000 .. +20,000	
         27					10				12768	52768	-20,000 .. +20,000	
         2b					11				12768	52768	-20,000 .. +20,000	
         2f					12				12768	52768	-20,000 .. +20,000	
         33					13				12768	52768	-20,000 .. +20,000	
         37					14				12768	52768	-20,000 .. +20,000	
         3b					15				12768	52768	-20,000 .. +20,000	
         3f					16				12768	52768	-20,000 .. +20,000	
         43					17				12768	52768	-20,000 .. +20,000	
         47					18				12768	52768	-20,000 .. +20,000	
         4b					19				12768	52768	-20,000 .. +20,000	
         4f					20				12768	52768	-20,000 .. +20,000	
